Code,Species
ABAL,Abies alba
ACCA,Acer campestre
ACPL,Acer platanoides
ACPS,Acer pseudoplatanus
COAV,Corylus avellana
COCL,Corylus colurna
FASY,Fagus sylvatica
FREX,Fraxinus excelsior
LADE,Larix decidua
PCAB,Picea abies
PISY,Pinus sylvestris
PSME,Pseudotsuga menziesii
QUPE,Quercus petraea
QURO,Quercus robur
QURU,Quercus rubra
TICO,Tilia Cordata
TIPL,Tilia platyphyllos
TISP,Tilia spezies
